source_id,source_kind,publication_status,rank_class,model_id,model_revision,runtime,profile,topology,mtp_tokens,input_tokens,target_output_tokens,concurrency,target_requests,completed_requests,duration_seconds,aggregate_output_tokens_per_second,median_ttft_ms,median_itl_ms,mean_effective_concurrency,queueing_observed,queueing_fraction,num_errors,expected_raw_artifact
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,8192,1024,2,10,10,31.306195,327.091808,154.217,5.869,2.0,false,,0,data/raw/tep4/mtp3/fixed/c2.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,8192,1024,4,20,20,36.389431,562.800777,163.599,6.693,3.9,false,,0,data/raw/tep4/mtp3/fixed/c4.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,8192,1024,8,40,40,44.478381,920.896818,183.927,8.367,7.9,false,,0,data/raw/tep4/mtp3/fixed/c8.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,8192,1024,16,80,80,59.452898,1377.897497,282.914,11.147,15.6,true,,0,data/raw/tep4/mtp3/fixed/c16.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,8192,1024,32,160,160,87.618336,1869.928236,382.137,16.410,30.8,true,,0,data/raw/tep4/mtp3/fixed/c32.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,8192,1024,64,320,320,131.628571,2489.429137,551.727,24.483,61.4,true,,0,data/raw/tep4/mtp3/fixed/c64.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,8192,1024,128,640,640,215.263879,3044.449464,970.300,40.179,122.1,true,,0,data/raw/tep4/mtp3/fixed/c128.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_ar,TEP4,0,8192,1024,1,5,5,43.801108,116.892021,101.341,8.341,0.9,false,0.000,0,nvfp4/results-20260827-r2/tep4/ar/fixed/c1.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_ar,TEP4,0,8192,1024,2,10,10,45.866598,223.256146,168.243,8.770,1.9,false,0.000,0,nvfp4/results-20260827-r2/tep4/ar/fixed/c2.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_ar,TEP4,0,8192,1024,4,20,20,49.212907,416.150994,173.289,9.418,3.9,false,0.000,0,nvfp4/results-20260827-r2/tep4/ar/fixed/c4.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_ar,TEP4,0,8192,1024,8,40,40,54.597459,750.218064,292.841,10.371,7.7,false,0.000,0,nvfp4/results-20260827-r2/tep4/ar/fixed/c8.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_ar,TEP4,0,8192,1024,16,80,80,63.043693,1299.416259,404.202,11.874,15.4,false,0.000,0,nvfp4/results-20260827-r2/tep4/ar/fixed/c16.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_ar,TEP4,0,8192,1024,32,160,160,82.019216,1997.580658,779.458,15.244,31.2,false,0.000,0,nvfp4/results-20260827-r2/tep4/ar/fixed/c32.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_ar,TEP4,0,8192,1024,64,320,320,114.998313,2849.433100,1490.289,21.015,62.8,false,0.000,0,nvfp4/results-20260827-r2/tep4/ar/fixed/c64.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_ar,TEP4,0,8192,1024,128,640,640,188.509505,3476.535576,2935.268,33.980,127.6,false,0.000,0,nvfp4/results-20260827-r2/tep4/ar/fixed/c128.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_mtp3,TEP4,3,8192,1024,1,5,5,24.184305,211.707556,111.200,4.568,1.0,false,0.000,0,nvfp4/results-20260827-r2/tep4/mtp3/fixed/c1.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_mtp3,TEP4,3,8192,1024,2,10,10,25.990818,393.985297,120.897,4.789,1.9,false,0.000,0,nvfp4/results-20260827-r2/tep4/mtp3/fixed/c2.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_mtp3,TEP4,3,8192,1024,4,20,20,30.351897,674.751892,118.338,5.690,3.8,false,0.000,0,nvfp4/results-20260827-r2/tep4/mtp3/fixed/c4.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_mtp3,TEP4,3,8192,1024,8,40,40,39.046488,1049.006002,162.979,7.262,7.3,false,0.000,0,nvfp4/results-20260827-r2/tep4/mtp3/fixed/c8.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_mtp3,TEP4,3,8192,1024,16,80,80,53.747758,1524.156598,192.892,10.236,15.2,false,0.000,0,nvfp4/results-20260827-r2/tep4/mtp3/fixed/c16.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_mtp3,TEP4,3,8192,1024,32,160,160,87.703209,1868.118647,219.252,16.700,31.3,false,0.000,0,nvfp4/results-20260827-r2/tep4/mtp3/fixed/c32.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_mtp3,TEP4,3,8192,1024,64,320,320,137.806606,2377.825054,263.645,26.218,63.4,false,0.000,0,nvfp4/results-20260827-r2/tep4/mtp3/fixed/c64.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,RadixArk/Qwen3.8-Flash-Next-NVFP4,7b719225242aacd3dbd3f9407468c2ee9a9d2594,SGLang,nvfp4_tep4_mtp3,TEP4,3,8192,1024,128,640,640,260.710197,2513.749013,2895.765,38.461,95.7,true,0.917,0,nvfp4/results-20260827-r2/tep4/mtp3/fixed/c128.json
